CUSTID,GENDER,AGE,TV_REG,NGROUP,LCDATE,BILL,REGION,CLASS,ORGYN,AFFL,LTIME,OAC,S_MT,S_FVEG,S_TOIL,S_CONV
0005969956,F,67,East,E,24/02/1994,960,Midlands,Silver,0,13,4,6,31.62,43.31,23.66,10.57
0005970202,F,45,S & S East,E,01/03/1991,0,South East,Tin,0,7,7,2,24.95,32.89,25.69,14.38
0005971411,M,64,London,F,30/03/1993,17795,South East,Gold,0,8,5,2,16.58,22.16,28.35,8.49
0005976235,M,64,East,F,14/03/1996,5000,Midlands,Silver,1,,2,4,33.21,44.09,20.69,5.72
0005976766,U,62,Midlands,F,19/10/1995,6000,Midlands,Gold,0,8,3,5,8.98,9.16,2.75,17.02
0005986877,F,69,C Scotland,D,23/12/1994,12000,Scottish,Gold,1,4,4,1,37.56,30.90,15.69,13.05
0005988446,F,48,London,E,24/11/1992,20000,South East,Gold,0,4,6,7,29.16,13.61,17.25,14.32
0005988799,M,73,Midlands,D,15/02/1984,291,Midlands,Silver,0,8,15,7,31.68,48.38,13.93,7.32
0005989132,F,40,London,B,05/10/1994,0,South East,Tin,0,4,4,8,32.74,19.60,20.53,11.07
0005989574,F,65,London,B,29/06/1981,18441,South East,Gold,0,6,17,6,26.82,24.65,20.30,14.42
0005989884,F,53,Wales & West,D,28/12/1994,6000,Midlands,Gold,0,5,4,7,15.05,32.06,29.82,8.62
0005992729,M,,N East,E,01/06/1990,0,North,Tin,1,5,8,6,33.79,27.91,18.15,7.63
0005999235,F,41,Midlands,E,01/02/1990,0,Midlands,Tin,1,12,9,4,29.95,32.22,17.49,9.27
0005999715,U,36,N West,E,25/05/1993,2750,North,Silver,0,8,5,7,45.22,11.68,12.05,11.83
0006001076,M,62,London,C,16/02/1994,3600,South East,Silver,0,7,5,5,34.11,34.81,23.16,6.95
0006004288,F,,S & S East,B,28/05/1996,6000,South East,Gold,1,5,2,7,26.48,38.45,21.48,12.45
0006004725,M,63,London,C,02/04/1997,4000,South East,Silver,0,11,1,1,26.58,41.05,15.50,7.06
0006008089,U,72,Ulster,,24/02/1990,7000,Midlands,Gold,0,9,9,7,16.80,0.11,27.25,0.39
0006011799,F,75,London,A,01/06/1990,0,South East,Tin,0,4,8,2,25.19,32.18,19.12,11.94
0006012175,,45,N West,F,01/02/1990,0,North,Silver,0,4,9,5,24.50,31.21,11.25,11.25
0006018815,M,43,,F,25/08/1994,1000,,Silver,1,10,4,5,15.32,40.37,21.32,8.05
0006020275,F,55,S West,F,25/09/1996,6000,South West,Gold,0,3,2,3,31.38,23.39,21.41,7.66
0006021549,M,49,N West,F,25/08/1994,0,North,Tin,0,3,4,5,31.99,33.70,8.63,6.88
0006026494,M,72,S & S East,D,27/09/1994,29741,South East,Platinum,0,7,4,8,18.40,40.89,28.37,7.00
0006026699,F,73,Wales & West,B,21/06/1993,1000,Midlands,Silver,0,8,5,5,26.87,28.82,24.41,13.14
0006029337,,,Midlands,F,19/05/1994,2000,Midlands,Silver,0,7,4,,25.00,26.51,16.93,14.30
0006032230,M,53,London,A,16/01/1991,2200,South East,Silver,0,10,8,4,40.88,59.31,25.70,7.63
0006041922,F,41,N West,D,16/02/1994,1000,North,Silver,0,9,5,2,49.35,32.36,20.23,10.91
0006042503,M,75,S & S East,C,01/01/1990,0,South East,Tin,0,10,9,5,25.46,34.32,13.12,5.31
0006046819,F,61,London,E,02/01/1991,12000,South East,Gold,0,11,8,8,30.54,22.32,22.19,12.91
0006048862,M,66,N West,B,29/03/1990,2400,North,Silver,0,,8,1,19.13,41.78,9.51,5.96
0006050018,F,66,Midlands,C,10/06/1993,1000,Midlands,Silver,0,12,5,8,22.82,33.19,12.40,7.86
0006082513,M,66,London,D,01/07/1990,0,South East,Silver,0,,8,5,31.46,28.41,15.62,10.20
0006084923,,64,S & S East,D,20/10/1997,10000,South East,Gold,0,5,1,1,31.45,36.64,10.47,12.84
0006085768,M,75,S & S East,B,12/04/1994,6000,South East,Gold,0,6,4,6,41.45,34.16,30.54,10.39
0006091415,F,39,London,C,04/10/1991,100,South East,Silver,0,8,7,2,28.03,21.17,25.51,13.99
0006094708,F,59,Midlands,B,09/03/1994,0,Midlands,Tin,0,11,4,2,24.70,24.44,13.97,11.32
0006098312,M,73,East,C,20/08/1968,5500,Midlands,Gold,0,8,30,2,10.57,32.81,11.80,8.97
0006107567,F,34,C Scotland,C,25/02/1994,0,Scottish,Tin,1,19,4,7,34.25,25.40,21.43,14.34
0006109551,M,46,Midlands,C,13/11/1993,0,Midlands,Tin,0,12,5,8,28.40,30.95,20.19,5.87
0006109713,F,30,London,F,30/12/1993,0,South East,Tin,0,4,5,7,28.47,30.36,35.72,12.17
0006114245,F,66,N Scot,F,31/10/1983,3000,Scottish,Silver,0,7,15,7,25.37,35.29,33.81,12.35
0006114776,F,52,N West,A,20/07/1994,1400,North,Silver,0,6,4,4,30.38,30.60,32.01,15.54
0006124518,F,69,Wales & West,A,14/11/1990,0,Midlands,Tin,0,9,8,6,32.59,31.95,18.16,11.27
0006134580,M,50,S & S East,B,05/06/1984,3000,South East,Silver,0,13,14,2,2.14,53.09,54.73,5.19
0006149391,,68,London,C,27/05/1987,4000,South East,Silver,0,9,11,7,28.41,37.17,19.89,11.77
0006161839,F,42,London,D,01/01/1991,0,South East,Tin,0,4,8,2,15.37,37.62,12.89,13.36
0006170099,,67,East,B,07/01/1991,2800,Midlands,Silver,0,8,8,1,24.94,32.22,20.63,11.11
0006174728,F,65,S & S East,E,15/12/1993,0,South East,Tin,0,9,5,2,43.32,38.20,24.52,12.12
0006178057,M,29,S & S East,C,10/02/1994,0,South East,Tin,0,9,5,2,26.14,43.75,39.31,6.27
0006178731,F,70,London,C,03/08/1995,20518,South East,Platinum,1,8,3,6,26.10,30.69,30.14,18.52
0006183301,,45,Wales & West,B,14/07/1989,100,Midlands,Silver,0,,9,5,32.74,29.21,10.70,10.83
0006185517,F,51,N East,B,01/05/1990,0,North,Tin,0,3,8,3,20.67,35.49,18.90,12.94
0006185797,M,33,Yorkshire,F,04/07/1997,100,North,Silver,0,6,1,4,35.45,35.98,16.33,6.33
0006188230,F,41,London,C,12/02/1994,420,South East,Silver,1,11,5,1,28.83,40.09,14.65,15.71
0006194826,F,56,S & S East,F,08/06/1993,6000,South East,Gold,0,11,5,3,39.76,29.91,12.82,11.28
0006199062,,50,Yorkshire,F,,6000,North,Gold,0,4,,8,20.76,26.56,14.87,10.13
0006201385,F,73,N West,F,04/03/1992,3141,North,Silver,0,12,6,4,35.17,32.74,13.68,6.69
0006203361,F,36,London,C,01/08/1990,0,South East,Tin,0,8,8,2,34.76,22.77,13.65,13.56
0006206530,F,50,,E,18/03/1997,6000,,Gold,0,9,1,6,18.74,39.82,27.29,10.29
0006207642,U,40,N East,B,25/03/1993,5000,North,Silver,0,8,5,5,17.11,14.08,11.35,16.64
0006208967,,62,S & S East,C,04/11/1986,500,South East,Silver,0,9,12,3,25.83,33.50,17.38,10.75
0006209955,F,52,London,C,29/06/1990,180,South East,Silver,0,7,8,3,24.24,28.51,26.44,9.06
0006210597,F,33,London,C,06/11/1993,0,South East,Tin,1,14,5,7,7.86,17.03,12.23,14.62
0006211941,M,28,London,F,25/02/1991,100,South East,Silver,0,8,7,2,11.45,39.72,37.86,7.53
0006212158,,51,London,C,13/01/1994,0,South East,Tin,0,5,5,3,22.99,32.79,23.68,12.39
0006214770,M,51,S West,F,01/07/1990,0,South West,Tin,0,10,8,5,34.10,28.42,17.99,8.05
0006216153,,68,N West,B,11/08/1993,5000,North,Silver,0,9,5,5,26.15,21.66,24.99,12.66
0006216633,M,77,London,E,08/09/1975,3000,South East,Silver,0,5,23,2,20.22,33.56,14.62,4.77
0006218792,F,76,S West,A,03/11/1986,47096,South West,Platinum,0,11,12,6,33.45,28.20,19.10,14.17
0006220509,U,61,London,E,01/07/1990,0,South East,Tin,0,11,8,7,32.97,13.27,10.75,20.52
0006220738,F,67,S & S East,C,29/04/1996,6000,South East,Gold,0,9,2,1,26.43,34.71,19.56,11.75
0006221475,F,43,N West,F,30/09/1993,0,North,Tin,1,5,5,1,19.74,24.14,18.04,14.29
0006223141,,38,London,F,04/05/1994,0,South East,Tin,1,10,4,1,28.73,24.42,14.65,10.82
0006225136,M,74,C Scotland,F,03/12/1993,7500,Scottish,Gold,1,13,5,4,27.45,53.44,9.12,8.43
0006227694,M,44,London,C,04/01/1994,0,South East,Tin,1,13,5,3,27.17,35.10,36.02,9.68
0006228372,M,46,Midlands,D,20/01/1994,0,Midlands,Tin,0,7,5,1,24.13,47.75,39.94,8.22
0006228690,,66,,B,21/01/1997,6000,,Gold,0,9,2,4,33.92,38.81,9.71,14.03
0006229115,U,60,London,F,01/05/1990,0,South East,Tin,0,,8,3,9.61,5.08,17.40,22.14
0006229492,,55,N West,F,20/07/1993,3000,North,Silver,0,7,5,2,18.60,21.36,11.69,10.68
0006229603,F,53,C Scotland,D,15/12/1993,3000,Scottish,Silver,1,12,5,1,24.34,28.52,19.82,13.15
0006230504,F,49,London,A,01/07/1991,0,South East,Tin,1,10,7,4,33.49,40.31,25.46,7.99
0006230636,M,46,N West,C,02/08/1988,50,North,Silver,1,8,10,3,20.33,25.57,18.52,1.71
0006230954,,67,S West,F,22/09/1993,0,South West,Tin,0,17,5,2,15.37,25.45,18.54,11.19
0006231071,F,37,East,F,01/06/1990,0,Midlands,Tin,0,10,8,1,38.36,23.51,24.29,10.54
0006234100,F,42,London,B,17/06/1997,1800,South East,Silver,1,11,1,2,19.42,16.94,14.74,13.94
0006234860,M,27,Wales & West,C,31/05/1994,1000,Midlands,Silver,0,14,4,2,28.50,30.79,30.70,7.06
0006235069,,50,Border,D,10/11/1994,18000,Scottish,Gold,0,11,4,1,28.74,31.31,9.03,15.12
0006235298,,61,N West,D,01/11/1990,1500,North,Silver,0,4,8,7,25.11,23.61,15.82,10.63
0006235735,F,56,London,A,07/02/1991,3000,South East,Silver,0,9,8,4,26.13,24.70,20.72,12.52
0006239056,F,54,Yorkshire,F,20/04/1994,0,North,Tin,0,14,4,2,16.95,30.90,7.20,11.06
0006239439,M,43,East,C,02/04/1997,6000,Midlands,Gold,0,5,1,1,30.62,39.21,37.72,5.33
0006240569,F,52,Midlands,C,07/01/1994,0,Midlands,Tin,0,11,5,4,18.86,27.24,1.82,9.67
0006240968,F,42,London,C,17/01/1991,8800,South East,Gold,1,16,8,1,11.12,19.12,17.98,12.11
0006245129,M,54,N West,C,01/02/1990,0,North,Tin,0,10,9,7,25.76,42.92,20.67,7.36
0006245471,F,60,East,B,22/11/1993,5000,Midlands,Silver,0,7,5,1,35.27,31.87,32.04,8.95
0006246109,F,50,Wales & West,C,20/07/1988,50,Midlands,Silver,0,9,10,1,25.01,30.57,13.90,10.19
0006246508,F,40,N Scot,C,24/03/1995,17000,Scottish,Gold,0,4,3,3,42.72,39.93,33.62,12.64
0006258417,,49,London,E,01/05/1990,0,South East,Tin,0,10,8,2,27.57,29.53,13.95,12.89
0006258581,F,54,Midlands,B,17/03/1994,0,Midlands,Tin,0,6,4,4,20.35,39.24,3.96,12.57
0006259529,,73,London,B,15/04/1997,6000,South East,Gold,0,10,1,4,14.83,25.94,18.08,11.45
0006260586,F,47,Midlands,D,06/04/1994,0,Midlands,Tin,0,12,4,8,16.49,13.86,19.44,12.74
0006261140,,36,Wales & West,E,04/08/1997,260,Midlands,Silver,1,11,1,5,34.07,16.61,16.99,13.98
0006264476,U,57,S & S East,C,19/03/1996,6000,South East,Gold,0,8,2,5,15.25,21.56,14.30,10.19
0006265073,M,47,Wales & West,C,09/11/1992,3000,Midlands,Silver,0,8,6,2,23.72,37.43,28.13,10.27
0006265545,M,42,London,A,19/11/1997,6000,South East,Gold,0,10,1,1,26.53,31.12,35.30,3.97
0006266266,M,49,Midlands,D,18/11/1993,1000,Midlands,Silver,0,8,5,5,21.70,28.72,14.22,8.86
0006266363,U,75,London,B,25/08/1995,20372,South East,Platinum,0,12,3,2,4.26,0.36,9.24,18.46
0006266975,F,52,S & S East,A,01/06/1990,0,South East,Silver,1,18,8,3,31.85,33.90,19.25,15.26
0006267106,F,68,Wales & West,A,18/10/1995,3000,Midlands,Silver,0,7,3,3,19.00,32.77,17.76,11.61
0006269893,F,64,Midlands,B,13/04/1993,5000,Midlands,Silver,0,10,5,6,29.79,32.31,31.60,9.46
0006271308,F,64,London,B,29/07/1993,6108,South East,Gold,0,6,5,4,20.66,35.36,13.98,12.08
0006271812,F,37,S & S East,F,25/07/1994,0,South East,Tin,1,6,4,4,21.54,26.73,22.98,12.50
0006273947,,57,Midlands,E,10/01/1991,2000,Midlands,Silver,0,10,8,3,24.56,21.99,27.51,13.62
0006276563,,60,Midlands,C,21/04/1997,6000,Midlands,Gold,0,10,1,1,18.33,28.90,9.49,13.75
0006283985,F,58,Midlands,A,21/08/1969,6060,Midlands,Gold,0,15,29,4,23.72,24.16,9.96,14.92
0006284418,F,39,Wales & West,F,01/06/1990,0,Midlands,Tin,1,,8,8,16.50,33.64,15.02,11.68
0006290124,,37,Midlands,C,11/05/1993,6000,Midlands,Gold,0,8,5,7,20.02,35.69,9.09,10.70
0006291058,F,46,N West,C,25/04/1995,4200,North,Silver,0,9,3,7,19.59,31.28,18.97,11.62
0006291538,F,23,Midlands,F,24/09/1996,700,Midlands,Silver,1,11,2,7,27.43,40.11,22.62,11.37
0006291988,M,60,Midlands,E,15/10/1987,300,Midlands,Silver,0,10,11,2,26.56,52.23,18.83,6.83
0006292313,,47,N Scot,B,25/02/1994,2000,Scottish,Silver,0,5,4,4,23.67,25.32,16.21,10.93
0006292437,F,44,East,C,28/09/1993,0,Midlands,Tin,1,8,5,2,24.82,28.29,25.33,12.16
0006293042,F,60,S & S East,D,17/02/1986,7080,South East,Gold,0,10,13,6,20.88,27.51,8.86,12.46
0006293867,M,45,Midlands,F,,0,Midlands,Tin,0,7,,4,22.44,26.99,32.55,8.92
0006294146,U,70,Yorkshire,D,11/01/1991,6000,North,Gold,0,8,8,4,20.33,4.43,16.01,9.32
0006294499,F,62,Wales & West,B,17/03/1994,0,Midlands,Tin,0,7,4,2,14.28,11.03,17.74,13.42
0006302572,U,56,N West,C,28/05/1991,1000,North,Silver,0,7,7,7,23.45,2.09,18.03,12.85
0006306128,M,50,S & S East,F,01/03/1991,0,South East,Tin,0,5,7,1,35.17,4.11,16.60,6.87
0006306810,F,35,London,D,09/10/1991,0,South East,Tin,1,,7,1,39.69,30.74,15.38,12.55
0006307299,M,54,Border,C,24/05/1994,1000,Scottish,Silver,0,7,4,5,19.05,32.28,22.87,6.70
0006308937,F,37,Midlands,C,11/04/1995,6000,Midlands,Gold,1,9,3,7,11.93,21.04,27.31,15.77
0006313558,F,42,S & S East,B,11/02/1994,0,South East,Silver,1,10,5,5,16.92,30.02,20.11,7.99
0006313779,F,71,N West,B,13/10/1976,42184,North,Platinum,0,7,22,8,14.76,31.00,22.64,10.65
0006326269,F,49,C Scotland,B,27/01/1995,100,Scottish,Silver,0,12,4,2,17.71,31.13,29.74,12.29
0006327540,F,33,Wales & West,C,01/01/1990,0,Midlands,Tin,0,9,9,5,19.07,23.74,22.47,15.29
0006361641,M,43,N Scot,C,15/02/1994,0,Scottish,Silver,0,,5,8,12.67,36.53,35.05,8.22
0006367461,F,49,London,B,11/06/1993,1000,South East,Silver,0,7,5,4,30.57,31.86,16.80,13.36
0006368905,M,60,Midlands,D,21/05/1987,6000,Midlands,Gold,1,13,11,5,27.82,44.05,28.03,5.33
0006369812,M,57,N West,B,13/11/1995,15000,North,Gold,0,9,3,6,38.56,44.63,20.15,8.99
0006370845,,47,Wales & West,B,09/06/1997,6000,Midlands,Gold,0,8,1,7,25.84,37.51,10.27,10.89
0006373151,F,53,London,C,24/10/1994,0,South East,Tin,0,14,4,6,30.92,25.70,21.93,11.10
0006383203,F,62,East,F,07/11/1994,6000,Midlands,Gold,0,5,4,3,35.57,20.37,15.46,12.22
0006383599,F,51,London,F,27/10/1994,0,South East,Tin,0,8,4,8,21.96,32.05,25.94,11.76
0006383742,M,67,Midlands,E,04/11/1997,1000,Midlands,Silver,0,12,1,8,28.42,23.24,38.85,9.51
0006386121,M,77,S West,F,04/04/1996,5000,South West,Silver,0,4,2,5,30.41,22.60,19.47,9.50
0006387071,F,,Midlands,F,27/05/1997,200,Midlands,Silver,0,6,1,3,19.24,40.11,16.72,9.75
0006390390,M,50,Midlands,D,28/02/1994,600,Midlands,Silver,1,12,4,8,12.87,42.15,17.73,3.62
0006392822,F,62,East,D,10/11/1994,5000,Midlands,Silver,0,6,4,3,40.32,37.65,17.60,8.30
0006396070,M,49,Wales & West,C,05/06/1992,1009,Midlands,Silver,0,10,6,7,21.12,27.20,28.60,9.75
0006396348,M,77,Wales & West,F,13/06/1991,1717,Midlands,Silver,1,13,7,7,48.48,29.39,7.39,4.49
0006397905,F,50,N West,F,19/11/1997,6000,North,Gold,0,6,1,6,33.48,37.62,26.08,11.99
0006426166,F,33,Wales & West,F,30/03/1994,11195,Midlands,Gold,0,7,4,2,20.71,24.62,20.85,13.40
0006429653,F,66,London,A,14/04/1992,6053,South East,Gold,1,11,6,5,30.75,36.05,26.09,13.97
0006430031,M,72,N East,B,05/08/1988,300,North,Silver,0,6,10,2,30.78,15.53,26.85,10.04
0006432042,F,74,N West,F,22/02/1990,1000,North,Silver,0,7,9,2,39.10,23.85,30.16,11.32
0006433413,F,56,N West,F,08/03/1996,6000,North,Gold,1,16,2,2,27.61,30.90,31.03,11.27
0006437966,M,78,East,C,05/10/1989,6105,Midlands,Gold,0,10,9,7,11.79,36.86,45.02,5.33
0006438644,F,60,East,F,25/11/1995,3000,Midlands,Silver,0,7,3,1,36.55,13.45,21.30,14.72
0006443214,F,66,East,C,17/02/1990,51000,Midlands,Platinum,0,8,9,2,31.21,29.61,24.18,11.09
0006448119,F,50,,E,31/01/1994,2000,,Silver,0,9,5,1,25.18,26.85,13.06,11.53
0006450598,,,East,F,28/04/1994,0,Midlands,Tin,0,,4,,25.80,38.62,7.42,14.15
0006452647,F,31,London,F,01/08/1991,0,South East,Tin,1,6,7,7,34.02,41.87,21.92,11.49
0006454038,F,44,London,C,05/11/1997,5000,South East,Silver,0,6,1,3,30.34,38.65,26.46,12.27
0006454836,U,54,East,B,09/05/1996,6000,Midlands,Gold,0,10,2,3,17.56,1.64,19.24,22.45
0006457150,U,60,London,D,24/05/1990,0,South East,Tin,0,,8,1,15.01,21.48,8.47,9.80
0006457320,F,51,S & S East,D,08/02/1994,0,South East,Tin,0,9,5,6,33.04,30.33,15.04,9.91
0006458548,,52,Midlands,C,11/09/1995,10000,Midlands,Gold,0,7,3,6,29.47,33.76,22.32,11.51
0006460186,M,60,S & S East,B,23/06/1995,6025,South East,Gold,0,10,3,8,14.09,33.36,27.36,6.29
0006461867,F,28,Wales & West,C,01/06/1991,0,Midlands,Tin,1,14,7,3,34.16,36.36,30.03,11.21
0006466281,M,50,N West,C,22/12/1994,21000,North,Platinum,0,10,4,1,29.84,41.17,33.30,6.21
0006469116,,59,London,F,14/06/1982,5200,South East,Gold,0,9,16,6,21.28,30.22,25.91,7.22
0006472419,,49,East,C,10/03/1994,0,Midlands,Tin,0,5,4,3,32.50,37.13,7.54,8.68
0006477747,,40,Midlands,F,21/09/1993,0,Midlands,Tin,0,8,5,7,18.21,23.07,20.63,12.25
0006480322,M,51,Yorkshire,C,14/02/1994,1000,North,Silver,0,12,5,5,18.77,43.24,25.87,12.01
0006481787,U,,East,E,30/12/1993,0,Midlands,Tin,0,8,5,3,15.79,12.40,12.38,0.82
0006486401,M,54,C Scotland,B,16/01/1991,500,Scottish,Silver,1,12,8,1,9.22,44.46,8.31,7.77
0006489168,U,35,London,C,28/05/1996,6000,South East,Gold,0,8,2,5,26.76,13.58,2.48,16.69
0006492533,F,48,S & S East,E,24/09/1992,0,South East,Tin,1,6,6,5,31.98,38.94,18.98,13.50
0006493602,M,72,S & S East,C,08/08/1991,3000,South East,Silver,0,10,7,2,12.35,36.70,10.37,7.16
0006497845,M,61,N West,D,19/02/1993,20000,North,Gold,0,8,6,8,22.77,34.48,12.51,7.46
0006499589,F,55,S West,D,15/01/1993,0,South West,Tin,1,16,6,2,21.82,36.69,8.33,14.17
0006500331,F,46,London,F,31/01/1994,0,South East,Tin,0,,5,7,21.61,41.41,17.97,10.71
0006502415,F,,S & S East,D,26/03/1996,2000,South East,Silver,0,6,2,3,33.46,29.05,19.29,12.66
0006502539,,64,London,A,16/11/1994,70000,South East,Platinum,0,12,4,4,15.68,37.41,14.83,15.70
0006503764,M,66,Yorkshire,F,06/05/1992,4600,North,Silver,0,7,6,8,20.86,37.84,23.02,9.28
0006505368,F,41,Midlands,D,01/07/1990,0,Midlands,Tin,0,2,8,6,34.27,31.62,34.29,13.94
0006507360,M,51,London,U,31/03/1993,600,South East,Silver,0,4,5,7,28.07,42.21,21.36,6.93
0006507573,F,79,Yorkshire,D,06/03/1990,200,North,Silver,0,9,8,1,29.47,33.66,8.31,11.77
0006508375,F,40,London,,01/02/1990,0,South East,Tin,0,12,9,6,29.67,25.53,17.84,8.62
0006509541,M,78,N West,A,10/01/1979,1500,North,Silver,0,12,20,7,28.55,37.68,26.53,5.34
0006510396,F,53,London,F,03/02/1992,6053,South East,Gold,0,10,7,1,26.78,25.82,12.67,11.67
0006511627,F,32,Wales & West,D,09/03/1994,0,Midlands,Tin,1,4,4,5,19.83,28.98,22.76,13.00
0006511945,M,66,Midlands,A,02/04/1991,12105,Midlands,Gold,0,8,7,8,18.47,25.76,16.57,4.68
0006513697,F,61,C Scotland,F,21/01/1994,0,Scottish,Tin,1,13,5,7,21.80,33.84,15.58,16.67
0006514545,F,33,London,,01/04/1992,420,South East,Silver,1,4,6,2,14.66,22.80,11.68,14.92
0006514731,M,46,Midlands,E,21/02/1992,2000,Midlands,Silver,1,10,7,4,55.71,27.84,30.19,4.69
0006516092,M,56,N East,F,01/07/1990,0,North,Tin,0,7,8,6,27.84,33.33,19.02,7.55
0006516521,F,76,Midlands,E,10/05/1996,6000,Midlands,Gold,1,16,2,4,28.10,19.89,15.29,9.47
0006517803,M,60,London,B,02/09/1982,3053,South East,Silver,0,10,16,7,23.70,33.48,38.55,8.91
0006517978,F,33,London,F,23/05/1994,1000,South East,Silver,1,16,4,1,30.52,29.73,17.80,14.85
0006518125,F,37,London,B,01/11/1990,0,South East,Tin,1,16,8,5,26.09,29.16,26.44,14.26
0006518370,F,,London,F,11/02/1994,0,South East,Tin,0,3,5,5,32.35,29.93,16.69,8.62
0006518648,M,54,Yorkshire,E,28/10/1997,3000,North,Silver,0,8,1,3,35.48,36.07,28.51,5.16
0006518737,U,46,East,C,25/09/1995,20548,Midlands,Platinum,0,7,3,4,34.02,5.71,15.34,14.87
0006519695,F,63,S & S East,B,30/04/1994,3350,South East,Silver,1,12,4,8,7.62,29.46,29.36,14.71
0006520774,M,44,Wales & West,F,01/07/1990,480,Midlands,Silver,1,11,8,2,11.87,46.81,19.07,7.80
0006521886,F,74,Wales & West,B,31/01/1991,3000,Midlands,Silver,0,5,8,7,25.88,33.59,19.60,13.05
0006523951,M,66,S & S East,F,11/10/1980,3000,South East,Silver,0,11,18,6,26.62,25.25,15.32,8.38
0006524052,,47,Wales & West,D,10/01/1994,0,Midlands,Tin,0,4,5,4,13.48,27.09,24.47,9.16
0006524400,F,75,N East,A,02/04/1996,2000,North,Silver,0,9,2,1,14.77,47.40,13.29,14.03
0006526322,F,45,Yorkshire,F,09/02/1994,0,North,Tin,0,5,5,4,16.45,41.51,23.99,12.91
0006528643,M,66,N East,C,29/11/1995,20691,North,Platinum,0,8,3,5,8.69,27.62,5.07,6.66
0006529526,F,69,Midlands,E,06/06/1991,1000,Midlands,Silver,0,12,7,6,26.18,29.82,17.42,8.63
0006530117,F,28,N West,F,27/08/1993,3000,North,Silver,0,10,5,8,19.86,33.23,11.89,14.58
0006530400,F,72,Midlands,B,10/04/1997,6000,Midlands,Gold,0,8,1,5,23.96,26.70,24.43,9.55
0006530656,F,,Yorkshire,F,14/02/1994,0,North,Tin,1,,5,7,31.88,24.04,16.03,15.93
0006531407,U,45,S & S East,E,16/07/1973,0,South East,Tin,0,5,25,4,14.93,16.53,14.56,2.93
0006531598,M,33,S & S East,C,01/05/1990,0,South East,Tin,0,11,8,5,28.96,34.51,28.36,6.06
0006531954,F,56,S West,F,01/06/1992,1800,South West,Silver,0,12,6,4,18.24,22.97,5.14,9.69
0006532543,M,53,East,E,11/02/1994,1200,Midlands,Silver,0,6,5,4,32.91,33.98,13.55,6.05
0006534988,F,,,B,18/05/1990,0,,Tin,0,7,8,6,30.01,33.04,23.23,10.10
0006535372,F,48,London,F,13/11/1991,2600,South East,Silver,0,11,7,1,33.85,22.98,17.06,11.08
0006538371,,40,London,F,24/02/1990,0,South East,Tin,0,11,9,1,18.63,34.08,16.02,10.37
0006539300,F,30,N Scot,F,09/02/1994,0,Scottish,Tin,1,17,5,3,17.08,48.97,19.72,14.83
0006539572,M,55,N West,B,08/09/1994,0,North,Tin,0,6,4,6,28.29,32.43,31.67,8.10
0006539742,F,63,N West,,05/04/1990,0,North,Tin,1,14,8,5,35.25,33.14,29.66,9.99
0006540317,F,40,Midlands,C,16/11/1993,4000,Midlands,Silver,1,7,5,7,26.40,27.29,18.07,12.21
0006541208,F,40,C Scotland,C,26/06/1997,1200,Scottish,Silver,1,12,1,2,24.37,31.68,25.43,11.52
0006541623,M,29,,B,29/04/1996,6000,,Gold,0,6,2,1,28.88,27.56,23.78,7.73
0006542697,,61,Wales & West,B,29/03/1993,6053,Midlands,Gold,0,5,5,8,28.88,24.92,3.92,11.18
0006542883,M,49,Yorkshire,B,06/06/1991,200,North,Silver,0,10,7,4,18.50,42.20,21.14,7.14
0006543782,,46,S & S East,B,24/09/1993,4000,South East,Silver,0,3,5,2,16.01,43.90,11.35,11.19
0006543995,M,32,Yorkshire,E,01/06/1990,0,North,Tin,0,14,8,4,17.33,57.17,34.77,8.76
0006544398,F,66,London,B,26/09/1996,12000,South East,Gold,1,5,2,1,25.16,40.24,18.86,14.72
0006545440,F,75,N West,A,30/01/1991,9105,North,Gold,0,10,8,1,24.34,39.38,29.46,13.24
0006545610,M,58,Wales & West,D,31/10/1980,3000,Midlands,Silver,0,7,18,1,21.04,34.86,14.96,7.02
0006548261,M,79,Wales & West,F,30/05/1997,6000,Midlands,Gold,0,5,1,7,37.75,28.02,28.07,8.90
0006548660,F,41,Midlands,C,18/03/1996,2458,Midlands,Silver,0,6,2,8,32.73,27.83,12.53,12.09
0006550193,U,35,London,D,24/02/1994,4000,South East,Silver,0,11,4,8,24.04,11.23,22.31,14.80
0006550592,F,53,Wales & West,B,15/02/1995,1680,Midlands,Silver,0,8,4,6,28.53,2.98,20.68,10.22
0006551092,M,49,S West,C,14/12/1993,0,South West,Silver,0,5,5,6,19.18,40.47,37.33,5.78
0006551912,M,46,London,F,17/09/1991,0,South East,Tin,0,8,7,1,41.65,42.74,25.53,6.33
0006552595,F,59,Midlands,E,14/07/1983,4952,Midlands,Silver,0,7,15,6,33.69,27.14,17.58,13.16
0006553672,F,62,East,E,10/04/1997,6000,Midlands,Gold,0,12,1,2,29.91,20.33,22.16,11.09
0006554539,M,74,N East,D,30/04/1980,24000,North,Platinum,0,6,18,2,13.81,46.48,16.74,4.57
0006559514,F,38,London,F,30/07/1987,900,South East,Silver,1,8,11,8,31.95,38.26,31.06,13.82
0006563333,M,35,East,C,29/07/1994,1500,Midlands,Silver,1,7,4,2,3.39,60.08,33.35,7.99
0006564372,,51,East,C,04/03/1993,1800,Midlands,Silver,0,10,5,7,16.17,36.39,5.31,11.04
